Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-01-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-01-31,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-08,-9999,-9999,2.27,-9999,-9999,-9999,-9999
1979-02-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-02-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-03-12,-9999,-9999,0,-9999,-9999,-9999,-9999
